### Level-3 GRACE/GRACE-FO M-SSA solution of surface mass density anomalies, expressed in Equivalent Water Height (EWH)
# Solution processed following the method proposed by Gauer et al. , in revision for Journal of Geophysical Research - Solid Earth, 2023
# Combined solution computed using Level-2 GRACE/GRACE-FO gravity fields provided by the CSR, GFZ, ITSG TU-GRAZ and JPL processing centers
# Period : 2003-01 to 2022-09
# Units: EWH [cm]
# 
# Stokes coefficients C1.0, C1.1 and S1.1 have been added following TN-13
# Stokes coefficient C2.0 has been replaced following TN-14
# Stokes coefficient C3.0 has been replaced following TN-14  for the 2012-03 to 2022-09 period
# TN are provided here : https://podaac-tools.jpl.nasa.gov/drive/files/allData/gracefo/docs/
# 
lon;lat;EWH
0.0;-90.0;-0.7914102329942488
0.0;-89.0;-0.9645179334968051
0.0;-88.0;-1.0693135352085321
0.0;-87.0;-0.9332107774287066
0.0;-86.0;-0.6481711790321414
0.0;-85.0;-0.4724124081700459
0.0;-84.0;-0.3138300383577991
0.0;-83.0;-0.05624898064824295
0.0;-82.0;0.17916600846030062
0.0;-81.0;0.4484104418207389
0.0;-80.0;0.6827619500189266
0.0;-79.0;0.8119428103029586
0.0;-78.0;0.8031170513382005
0.0;-77.0;0.6251158885879099
0.0;-76.0;0.739099506516592
0.0;-75.0;1.5769056185780286
0.0;-74.0;3.530337112756915
0.0;-73.0;5.8223216373483995
0.0;-72.0;6.7614741572311825
0.0;-71.0;5.741825193427846
0.0;-70.0;3.3821028401439293
0.0;-69.0;1.0861539562066223
0.0;-68.0;0.20429085090751833
0.0;-67.0;0.22487695170621552
0.0;-66.0;0.733042856900038
0.0;-65.0;0.8653670392529829
0.0;-64.0;0.5963646915638606
0.0;-63.0;0.47084727494602263
0.0;-62.0;0.2577355032982248
0.0;-61.0;0.4491679485933571
0.0;-60.0;0.5179688662367298
0.0;-59.0;0.5587610101874517
0.0;-58.0;0.6734998683767297
0.0;-57.0;0.6347252493251463
0.0;-56.0;0.6624979161895067
0.0;-55.0;0.6201322654751856
0.0;-54.0;0.718824661413822
0.0;-53.0;0.8514523267678581
0.0;-52.0;0.6732739497962582
0.0;-51.0;0.6051564266395675
0.0;-50.0;0.6142521694287515
0.0;-49.0;0.5629228304409815
0.0;-48.0;0.4913968514536769
0.0;-47.0;0.47558214124739473
0.0;-46.0;0.3650948239812476
0.0;-45.0;0.5521577836677922
0.0;-44.0;0.5331362926387391
0.0;-43.0;0.5861260188540665
0.0;-42.0;0.6138669594323127
0.0;-41.0;0.5442576405120158
0.0;-40.0;0.6059779962781797
0.0;-39.0;0.5536411586358062
0.0;-38.0;0.5331973489249392
0.0;-37.0;0.5126872832980465
0.0;-36.0;0.15808515586157798
0.0;-35.0;0.11003212970637564
0.0;-34.0;0.22400991988563013
0.0;-33.0;0.313294194334544
0.0;-32.0;0.3735431347082866
0.0;-31.0;0.3467875778049452
0.0;-30.0;0.2227563121319393
0.0;-29.0;0.20647926026941668
0.0;-28.0;0.3875377477342794
0.0;-27.0;0.45305144394849967
0.0;-26.0;0.2992174344004632
0.0;-25.0;0.18475954704589787
0.0;-24.0;0.386391035789777
0.0;-23.0;0.4551266370737913
0.0;-22.0;0.5456826582124602
0.0;-21.0;0.6342447013321295
0.0;-20.0;0.6505446011927163
0.0;-19.0;0.598778850287015
0.0;-18.0;0.6851992068809742
0.0;-17.0;0.7266046638315421
0.0;-16.0;0.7307528419135947
0.0;-15.0;0.6129996559983549
0.0;-14.0;0.5251496361212838
0.0;-13.0;0.23025092186390742
0.0;-12.0;0.16188120344561577
0.0;-11.0;0.16764019572837977
0.0;-10.0;0.20537727870683653
0.0;-9.0;0.32020964180351397
0.0;-8.0;0.428208399887412
0.0;-7.0;0.37753209307665786
0.0;-6.0;0.22168694162590843
0.0;-5.0;0.16878537450406997
0.0;-4.0;0.13250235225180812
0.0;-3.0;0.22140138532564982
0.0;-2.0;0.2585804030451466
0.0;-1.0;0.2884899058295584
0.0;0.0;0.3711035988213202
0.0;1.0;0.2377295057072142
0.0;2.0;0.3944306622932515
0.0;3.0;0.3293726255049396
0.0;4.0;0.17831117698780083
0.0;5.0;0.12391512656275419
0.0;6.0;-0.47643503623466976
0.0;7.0;-1.0518862570723482
0.0;8.0;-1.5114211970499487
0.0;9.0;-1.4258734031031188
0.0;10.0;-0.908580650880291
0.0;11.0;-0.02214065209097607
0.0;12.0;0.6349473579449518
0.0;13.0;1.094485938449602
0.0;14.0;1.0671990297332494
0.0;15.0;0.7774542028345106
0.0;16.0;0.09021561633594322
0.0;17.0;0.10079693243601043
0.0;18.0;0.09276249565530002
0.0;19.0;0.08278012496731978
0.0;20.0;0.08487048185060658
0.0;21.0;0.06982145222212284
0.0;22.0;0.19749300703250977
0.0;23.0;0.14608177059745694
0.0;24.0;0.43404744998560185
0.0;25.0;0.5328588797056215
0.0;26.0;0.40088178188303336
0.0;27.0;0.28644480188110205
0.0;28.0;0.01570184509690126
0.0;29.0;-0.014262676119682375
0.0;30.0;0.2341051144043959
0.0;31.0;0.32932394188921094
0.0;32.0;0.3995166865380767
0.0;33.0;0.5893499687110313
0.0;34.0;0.5813821336005217
0.0;35.0;0.3803108359828805
0.0;36.0;0.07896483806540985
0.0;37.0;0.03919349392942207
0.0;38.0;0.0173362306596053
0.0;39.0;-0.025505419497319076
0.0;40.0;0.028557921056608745
0.0;41.0;0.14325355421226293
0.0;42.0;0.2354286907302191
0.0;43.0;0.16770904826545735
0.0;44.0;0.12765797988848687
0.0;45.0;0.03275658981203823
0.0;46.0;0.07261412009778387
0.0;47.0;0.14436788055850455
0.0;48.0;0.290945572754465
0.0;49.0;0.2741907887490757
0.0;50.0;0.1267095005603971
0.0;51.0;-0.31886020800370657
0.0;52.0;-0.3535057724303785
0.0;53.0;-0.42956997658818513
