### Level-3 GRACE/GRACE-FO M-SSA solution of surface mass density anomalies, expressed in Equivalent Water Height (EWH)
# Solution processed following the method proposed by Gauer et al. , in revision for Journal of Geophysical Research - Solid Earth, 2023
# Combined solution computed using Level-2 GRACE/GRACE-FO gravity fields provided by the CSR, GFZ, ITSG TU-GRAZ and JPL processing centers
# Period : 2003-01 to 2022-09
# Units: EWH [cm]
# 
# Stokes coefficients C1.0, C1.1 and S1.1 have been added following TN-13
# Stokes coefficient C2.0 has been replaced following TN-14
# Stokes coefficient C3.0 has been replaced following TN-14  for the 2012-03 to 2022-09 period
# TN are provided here : https://podaac-tools.jpl.nasa.gov/drive/files/allData/gracefo/docs/
# 
lon;lat;EWH
0.0;-90.0;0.47862771152392275
0.0;-89.0;0.3959370771987079
0.0;-88.0;0.36180002166037584
0.0;-87.0;0.5339396798341303
0.0;-86.0;0.8093204181787321
0.0;-85.0;0.9232868618044706
0.0;-84.0;0.9634199108741022
0.0;-83.0;1.0448620656812357
0.0;-82.0;1.0536476129537895
0.0;-81.0;1.0656536041325855
0.0;-80.0;1.0432008350289288
0.0;-79.0;0.9486834093713812
0.0;-78.0;0.7708298761344958
0.0;-77.0;0.48152958609361207
0.0;-76.0;0.5293760682881041
0.0;-75.0;1.3283532404399558
0.0;-74.0;3.257242451294584
0.0;-73.0;5.534666771680895
0.0;-72.0;6.470823049264611
0.0;-71.0;5.461607781454864
0.0;-70.0;3.1240762382880605
0.0;-69.0;0.856832532886805
0.0;-68.0;0.003988227964995535
0.0;-67.0;0.04943049417276339
0.0;-66.0;0.5765815719798201
0.0;-65.0;0.7225168599234654
0.0;-64.0;0.46328068754859747
0.0;-63.0;0.34529419459679533
0.0;-62.0;0.13869301158253505
0.0;-61.0;0.3363295842832097
0.0;-60.0;0.4113274774461253
0.0;-59.0;0.45834498423639286
0.0;-58.0;0.5792483131507253
0.0;-57.0;0.5464571861696343
0.0;-56.0;0.5799306528417061
0.0;-55.0;0.5429174484474494
0.0;-54.0;0.6465829731384537
0.0;-53.0;0.783799017994876
0.0;-52.0;0.6098358319644887
0.0;-51.0;0.5455818088147196
0.0;-50.0;0.5582126361483396
0.0;-49.0;0.510107201274537
0.0;-48.0;0.44150138914800646
0.0;-47.0;0.42830329310010945
0.0;-46.0;0.320133206473701
0.0;-45.0;0.5092415629167634
0.0;-44.0;0.4920598534241879
0.0;-43.0;0.5467808707513424
0.0;-42.0;0.5762371459439287
0.0;-41.0;0.5083724079722582
0.0;-40.0;0.5718450549136376
0.0;-39.0;0.5211983439114869
0.0;-38.0;0.5023065079868055
0.0;-37.0;0.4831643028508372
0.0;-36.0;0.12974038223314685
0.0;-35.0;0.0826995658073146
0.0;-34.0;0.19755956133008157
0.0;-33.0;0.28763137790843335
0.0;-32.0;0.34859998302503625
0.0;-31.0;0.32251205295139085
0.0;-30.0;0.19910403826241763
0.0;-29.0;0.18340960013340285
0.0;-28.0;0.36501279923450086
0.0;-27.0;0.4310371426392142
0.0;-26.0;0.2776855475484224
0.0;-25.0;0.16368765014121991
0.0;-24.0;0.36575938218177934
0.0;-23.0;0.4349145542657201
0.0;-22.0;0.5258669165870724
0.0;-21.0;0.6147998221528542
0.0;-20.0;0.6314447851042577
0.0;-19.0;0.580000960210577
0.0;-18.0;0.6667241725554036
0.0;-17.0;0.7084152741585003
0.0;-16.0;0.7128300856510112
0.0;-15.0;0.595321525618124
0.0;-14.0;0.5076941536180041
0.0;-13.0;0.21300366203549898
0.0;-12.0;0.1448469132336305
0.0;-11.0;0.1508555057040467
0.0;-10.0;0.18891988475906915
0.0;-9.0;0.30420175647154424
0.0;-8.0;0.41281458288365985
0.0;-7.0;0.362950207782005
0.0;-6.0;0.20812916659826816
0.0;-5.0;0.15644686872152005
0.0;-4.0;0.1215187157888046
0.0;-3.0;0.21180550714051358
0.0;-2.0;0.2502834487789977
0.0;-1.0;0.28131389740398
0.0;0.0;0.3648667660766613
0.0;1.0;0.23234182245298313
0.0;2.0;0.38994225140437827
0.0;3.0;0.32596915348253536
0.0;4.0;0.17632713864192306
0.0;5.0;0.12392462587735946
0.0;6.0;-0.4735300819208482
0.0;7.0;-1.0449609948622585
0.0;8.0;-1.4994982279444304
0.0;9.0;-1.4085536833954415
0.0;10.0;-0.8862113267505631
0.0;11.0;0.004402839880017426
0.0;12.0;0.6646819369663796
0.0;13.0;1.1266565865747638
0.0;14.0;1.101381475156748
0.0;15.0;0.8134697796464139
0.0;16.0;0.12798740133689493
0.0;17.0;0.140243501420384
0.0;18.0;0.13375545503794425
0.0;19.0;0.12514637618093777
0.0;20.0;0.12841161318708197
0.0;21.0;0.1143329714844212
0.0;22.0;0.24277799052188997
0.0;23.0;0.19196068028080704
0.0;24.0;0.4803675442664833
0.0;25.0;0.5795030176949701
0.0;26.0;0.4477700259483003
0.0;27.0;0.3335174636181914
0.0;28.0;0.06287513664808247
0.0;29.0;0.03284036438960492
0.0;30.0;0.2808398021466821
0.0;31.0;0.3753099162503353
0.0;32.0;0.44444538347336326
0.0;33.0;0.6331687931706079
0.0;34.0;0.6243521368075232
0.0;35.0;0.4228495704150803
0.0;36.0;0.12137813013178236
0.0;37.0;0.08150930497411765
0.0;38.0;0.059336024523018754
0.0;39.0;0.015838955027399855
0.0;40.0;0.06887391996686938
0.0;41.0;0.18218334393784913
0.0;42.0;0.2727122553086828
0.0;43.0;0.20331618544004307
0.0;44.0;0.1619373057601932
0.0;45.0;0.0665907168217402
0.0;46.0;0.10754407240346561
0.0;47.0;0.18252868905034908
0.0;48.0;0.334602585407859
0.0;49.0;0.3248661102819012
0.0;50.0;0.1842922445911439
0.0;51.0;-0.25631926671906907
0.0;52.0;-0.2887598195707134
0.0;53.0;-0.3640640428047162
0.0;54.0;-0.1303015271777064
0.0;55.0;-0.13683193630141066
0.0;56.0;-0.1725636269411154
0.0;57.0;-0.24609812075559925
0.0;58.0;-0.2666342950714316
0.0;59.0;-0.15310649761909853
0.0;60.0;-0.19096328506434854
0.0;61.0;-0.21792185036353778
0.0;62.0;-0.03754462209282388
0.0;63.0;0.19555358634962605
0.0;64.0;0.23531977140180887
0.0;65.0;0.2714484103399388
0.0;66.0;0.37463282182908303
0.0;67.0;0.39065846862875275
0.0;68.0;0.5427398501061242
0.0;69.0;0.6665730885790869
0.0;70.0;0.6897210111913057
0.0;71.0;0.6232360770883772
0.0;72.0;0.5480710644347928
0.0;73.0;0.4412211684724216
0.0;74.0;0.5208922519570157
0.0;75.0;0.6775631655707672
0.0;76.0;1.0972032143881498
0.0;77.0;1.4608710513468
0.0;78.0;1.4827700980088818
0.0;79.0;1.2537058021735987
0.0;80.0;1.0711910952721329
0.0;81.0;1.0446007882777257
0.0;82.0;0.9353365084283433
0.0;83.0;0.8845870618973712
0.0;84.0;0.6976582161282201
0.0;85.0;0.3466694933660888
0.0;86.0;0.33635446094687854
0.0;87.0;0.4426085591526802
0.0;88.0;0.5885965876848409
0.0;89.0;0.35078283612375427
0.0;90.0;0.17160644970394193
1.0;-90.0;0.47860407706723174
1.0;-89.0;0.3911829893533359
1.0;-88.0;0.360032447427907
1.0;-87.0;0.5671892675809578
1.0;-86.0;0.8433949335221812
1.0;-85.0;0.9481688256055775
1.0;-84.0;0.9655933765202768
1.0;-83.0;1.0274638676332541
1.0;-82.0;1.0247864718869932
1.0;-81.0;1.0440073419549485
1.0;-80.0;1.056384583737835
1.0;-79.0;0.9873656559365969
1.0;-78.0;0.8168307078208399
1.0;-77.0;0.49387106584176055
1.0;-76.0;0.45086908418226945
1.0;-75.0;1.1298337265049618
1.0;-74.0;2.9908065313436105
1.0;-73.0;5.1932124551248
1.0;-72.0;6.20833222188353
1.0;-71.0;5.261986524669121
1.0;-70.0;2.997677995060201
1.0;-69.0;0.8592910184946985
1.0;-68.0;-0.030888711163901544
1.0;-67.0;0.11911668673532921
1.0;-66.0;0.5715626182960383
1.0;-65.0;0.7754206131762359
1.0;-64.0;0.5541343348805668
1.0;-63.0;0.2301429383557194
1.0;-62.0;0.17555536412753264
1.0;-61.0;0.3081300362077998
1.0;-60.0;0.41654464656286744
1.0;-59.0;0.5201520347778449
1.0;-58.0;0.5755519888948345
1.0;-57.0;0.696033622338704
1.0;-56.0;0.6071142570564398
1.0;-55.0;0.6233905662495578
1.0;-54.0;0.7318125457487648
1.0;-53.0;0.6450036202188841
1.0;-52.0;0.5973777097522553
1.0;-51.0;0.5996406686621081
1.0;-50.0;0.5546996716341497
1.0;-49.0;0.5753538573361666
1.0;-48.0;0.46114092008589963
1.0;-47.0;0.35140222762658274
1.0;-46.0;0.19933508343664022
1.0;-45.0;0.470062013084875
1.0;-44.0;0.5162553915307478
1.0;-43.0;0.5059121791024754
1.0;-42.0;0.5031987240692889
1.0;-41.0;0.4263540418108407
1.0;-40.0;0.6104039117057675
1.0;-39.0;0.6298993458999106
1.0;-38.0;0.6150646446379413
1.0;-37.0;0.5687806054881729
1.0;-36.0;0.28513788215790675
1.0;-35.0;0.12989052947351767
1.0;-34.0;0.3412087929358074
1.0;-33.0;0.3988195838030371
1.0;-32.0;0.3681162519072328
1.0;-31.0;0.4005987057932053
1.0;-30.0;0.33799802918428884
1.0;-29.0;0.32463968509108604
1.0;-28.0;0.3551607445540506
1.0;-27.0;0.37541173730302035
1.0;-26.0;0.36943474014624905
1.0;-25.0;0.1529651813004463
1.0;-24.0;0.17901828956303067
1.0;-23.0;0.3932990544395625
1.0;-22.0;0.5103323492724735
1.0;-21.0;0.5546212547898947
1.0;-20.0;0.5756863793275728
1.0;-19.0;0.530662677759605
1.0;-18.0;0.38315525475407247
