#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1901.30    0.061390    0.018372    0.062932    0.019516  99.9900000  99.9900000    0.262339    0.000000    0.014761    0.000000
   1901.35    0.102814    0.019188    0.037863    0.019404  99.9900000  99.9900000    0.262209    0.000000    0.013845    0.000000
   1901.40    0.082087    0.018702   -0.035288    0.021217  99.9900000  99.9900000    0.261544    0.000000    0.014545    0.000000
   1901.45    0.122454    0.017651   -0.030943    0.017567  99.9900000  99.9900000    0.258834    0.000000    0.015214    0.000000
   1901.50    0.138023    0.019362   -0.028110    0.019465  99.9900000  99.9900000    0.256237    0.000000    0.014970    0.000000
   1901.55    0.092854    0.020716   -0.106355    0.018839  99.9900000  99.9900000    0.253188    0.000000    0.015189    0.000000
   1901.60    0.069654    0.018276   -0.154103    0.017688  99.9900000  99.9900000    0.250787    0.000000    0.015306    0.000000
   1901.65    0.090697    0.016236   -0.123290    0.016972  99.9900000  99.9900000    0.249005    0.000000    0.015138    0.000000
   1901.70    0.057053    0.017380   -0.113086    0.017000  99.9900000  99.9900000    0.248895    0.000000    0.016009    0.000000
   1901.75    0.004785    0.021673   -0.085625    0.018247  99.9900000  99.9900000    0.249136    0.000000    0.015852    0.000000
   1901.80   -0.045604    0.022499   -0.083720    0.018287  99.9900000  99.9900000    0.251047    0.000000    0.016058    0.000000
   1901.85   -0.069183    0.022234   -0.071898    0.019940  99.9900000  99.9900000    0.253125    0.000000    0.017161    0.000000
   1901.90   -0.058863    0.026226   -0.026214    0.021417  99.9900000  99.9900000    0.255099    0.000000    0.017867    0.000000
   1901.95   -0.118209    0.022399    0.004203    0.020279  99.9900000  99.9900000    0.255839    0.000000    0.018179    0.000000
   1902.00   -0.136061    0.024328    0.029224    0.022264  99.9900000  99.9900000    0.256339    0.000000    0.018568    0.000000
   1902.05   -0.139199    0.022639    0.065133    0.025465  99.9900000  99.9900000    0.255647    0.000000    0.019035    0.000000
   1902.10   -0.130703    0.027276    0.128537    0.023978  99.9900000  99.9900000    0.255928    0.000000    0.017626    0.000000
   1902.15   -0.128082    0.028357    0.182828    0.026520  99.9900000  99.9900000    0.255896    0.000000    0.016895    0.000000
   1902.20   -0.079908    0.018751    0.204049    0.020440  99.9900000  99.9900000    0.256403    0.000000    0.015729    0.000000
   1902.25   -0.067531    0.021570    0.222242    0.023078  99.9900000  99.9900000    0.257266    0.000000    0.014722    0.000000
   1902.30   -0.014009    0.017191    0.203415    0.017864  99.9900000  99.9900000    0.257876    0.000000    0.014304    0.000000
   1902.35    0.034229    0.018377    0.232773    0.018376  99.9900000  99.9900000    0.257131    0.000000    0.013848    0.000000
