#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)     dX(")       dX_er(")    dY(")       dY_er(")
   1902.55    0.205535    0.018393    0.077269    0.018481  99.9900000  99.9900000   -0.098108    0.000000   -0.017290    0.000000
   1902.60    0.199879    0.019685    0.028341    0.019204  99.9900000  99.9900000   -0.097021    0.000000   -0.017329    0.000000
   1902.65    0.171495    0.019640   -0.005918    0.016473  99.9900000  99.9900000   -0.096382    0.000000   -0.017350    0.000000
   1902.70    0.157289    0.018019   -0.046210    0.019235  99.9900000  99.9900000   -0.096163    0.000000   -0.017428    0.000000
   1902.75    0.085589    0.020992   -0.091048    0.022621  99.9900000  99.9900000   -0.096473    0.000000   -0.017742    0.000000
   1902.80    0.034259    0.018245   -0.108951    0.016402  99.9900000  99.9900000   -0.097057    0.000000   -0.018451    0.000000
   1902.85   -0.023217    0.019349   -0.094539    0.020118  99.9900000  99.9900000   -0.097893    0.000000   -0.019202    0.000000
   1902.90   -0.068773    0.023284   -0.091346    0.020618  99.9900000  99.9900000   -0.098356    0.000000   -0.020014    0.000000
   1902.95   -0.132439    0.023712   -0.035288    0.023616  99.9900000  99.9900000   -0.098629    0.000000   -0.020722    0.000000
   1903.00   -0.185202    0.023739    0.006091    0.023274  99.9900000  99.9900000   -0.098793    0.000000   -0.020892    0.000000
   1903.05   -0.222628    0.024843    0.044155    0.022839  99.9900000  99.9900000   -0.098708    0.000000   -0.020762    0.000000
   1903.10   -0.234208    0.019915    0.065871    0.021461  99.9900000  99.9900000   -0.098643    0.000000   -0.020037    0.000000
   1903.15   -0.212113    0.022848    0.129971    0.023476  99.9900000  99.9900000   -0.098756    0.000000   -0.019167    0.000000
   1903.20   -0.175192    0.023818    0.192063    0.022818  99.9900000  99.9900000   -0.098932    0.000000   -0.018168    0.000000
   1903.25   -0.171286    0.020151    0.183895    0.020686  99.9900000  99.9900000   -0.099313    0.000000   -0.017245    0.000000
   1903.30   -0.138004    0.021339    0.226362    0.018845  99.9900000  99.9900000   -0.099457    0.000000   -0.016675    0.000000
   1903.35   -0.049075    0.019379    0.282006    0.017311  99.9900000  99.9900000   -0.099412    0.000000   -0.016391    0.000000
   1903.40    0.001289    0.019149    0.249503    0.021018  99.9900000  99.9900000   -0.098932    0.000000   -0.016557    0.000000
   1903.45    0.052759    0.018422    0.270678    0.019675  99.9900000  99.9900000   -0.098085    0.000000   -0.016681    0.000000
   1903.50    0.081315    0.016139    0.254431    0.017308  99.9900000  99.9900000   -0.096918    0.000000   -0.016980    0.000000
   1903.55    0.148575    0.017923    0.236586    0.018799  99.9900000  99.9900000   -0.095552    0.000000   -0.017040    0.000000
   1903.60    0.183178    0.015992    0.188961    0.018211  99.9900000  99.9900000   -0.094633    0.000000   -0.017080    0.000000
   1903.65    0.219356    0.015086    0.104068    0.017662  99.9900000  99.9900000   -0.093882    0.000000   -0.017147    0.000000
   1903.70    0.213312    0.020299    0.081479    0.021653  99.9900000  99.9900000   -0.093700    0.000000   -0.017248    0.000000
   1903.75    0.185008    0.018181   -0.008872    0.021910  99.9900000  99.9900000   -0.093992    0.000000   -0.017615    0.000000
   1903.80    0.148809    0.021926   -0.061869    0.017128  99.9900000  99.9900000   -0.094622    0.000000   -0.018414    0.000000
   1903.85    0.127507    0.024644   -0.108026    0.022886  99.9900000  99.9900000   -0.095321    0.000000   -0.019216    0.000000
   1903.90    0.089290    0.027676   -0.098452    0.021124  99.9900000  99.9900000   -0.095988    0.000000   -0.020183    0.000000
   1903.95    0.011735    0.029403   -0.093764    0.023479  99.9900000  99.9900000   -0.096174    0.000000   -0.020746    0.000000
   1904.00   -0.076538    0.029465   -0.075314    0.026064  99.9900000  99.9900000   -0.096349    0.000000   -0.021177    0.000000
   1904.05   -0.134495    0.026089   -0.079089    0.023426  99.9900000  99.9900000   -0.096232    0.000000   -0.020866    0.000000
   1904.10   -0.172245    0.024183   -0.026526    0.021364  99.9900000  99.9900000   -0.096227    0.000000   -0.020403    0.000000
   1904.15   -0.193161    0.031528    0.021542    0.032850  99.9900000  99.9900000   -0.096217    0.000000   -0.019351    0.000000
   1904.20   -0.219831    0.022235    0.005869    0.028885  99.9900000  99.9900000   -0.096476    0.000000   -0.018491    0.000000
   1904.25   -0.202024    0.023390    0.077011    0.021591  99.9900000  99.9900000   -0.096785    0.000000   -0.017647    0.000000
   1904.30   -0.184641    0.031990    0.127930    0.024818  99.9900000  99.9900000   -0.096914    0.000000   -0.016963    0.000000
   1904.35   -0.159038    0.019052    0.153521    0.021059  99.9900000  99.9900000   -0.096838    0.000000   -0.016813    0.000000
   1904.40   -0.120112    0.022931    0.233686    0.021686  99.9900000  99.9900000   -0.096424    0.000000   -0.017012    0.000000
   1904.45   -0.057915    0.017000    0.243991    0.017525  99.9900000  99.9900000   -0.095501    0.000000   -0.017203    0.000000
   1904.50    0.000663    0.015362    0.249472    0.016865  99.9900000  99.9900000   -0.094285    0.000000   -0.017436    0.000000
   1904.55    0.064127    0.017529    0.250051    0.019406  99.9900000  99.9900000   -0.093029    0.000000   -0.017482    0.000000
   1904.60    0.100760    0.013996    0.206088    0.016494  99.9900000  99.9900000   -0.091992    0.000000   -0.017503    0.000000
   1904.65    0.123784    0.014812    0.177187    0.014584  99.9900000  99.9900000   -0.091347    0.000000   -0.017467    0.000000
   1904.70    0.156435    0.016342    0.139202    0.016714  99.9900000  99.9900000   -0.091264    0.000000   -0.017633    0.000000
   1904.75    0.167457    0.020981    0.118580    0.021580  99.9900000  99.9900000   -0.091462    0.000000   -0.018125    0.000000
   1904.80    0.155261    0.019602    0.071099    0.018013  99.9900000  99.9900000   -0.092124    0.000000   -0.018753    0.000000
   1904.85    0.148942    0.021607    0.033451    0.018514  99.9900000  99.9900000   -0.092790    0.000000   -0.019858    0.000000
   1904.90    0.107776    0.028147    0.024389    0.025404  99.9900000  99.9900000   -0.093399    0.000000   -0.020673    0.000000
   1904.95    0.118698    0.026884   -0.006871    0.026262  99.9900000  99.9900000   -0.093648    0.000000   -0.021376    0.000000
   1905.00    0.064361    0.022413   -0.053590    0.025720  99.9900000  99.9900000   -0.093785    0.000000   -0.021664    0.000000
   1905.05    0.009198    0.024033   -0.103046    0.026638  99.9900000  99.9900000   -0.093755    0.000000   -0.021470    0.000000
   1905.10   -0.031125    0.026424   -0.117576    0.022504  99.9900000  99.9900000   -0.093721    0.000000   -0.020922    0.000000
   1905.15   -0.080032    0.027293   -0.055234    0.023467  99.9900000  99.9900000   -0.093751    0.000000   -0.019967    0.000000
   1905.20   -0.170852    0.023007   -0.070760    0.022130  99.9900000  99.9900000   -0.094191    0.000000   -0.018991    0.000000
   1905.25   -0.180580    0.018235   -0.062141    0.018213  99.9900000  99.9900000   -0.094315    0.000000   -0.018183    0.000000
   1905.30   -0.171592    0.023233   -0.023499    0.023529  99.9900000  99.9900000   -0.094565    0.000000   -0.017555    0.000000
   1905.35   -0.196010    0.019238    0.044284    0.019691  99.9900000  99.9900000   -0.094435    0.000000   -0.017348    0.000000
   1905.40   -0.159987    0.019621    0.077361    0.020542  99.9900000  99.9900000   -0.093902    0.000000   -0.017363    0.000000
   1905.45   -0.152896    0.020041    0.123607    0.021427  99.9900000  99.9900000   -0.093130    0.000000   -0.017807    0.000000
   1905.50   -0.110410    0.018161    0.156574    0.021271  99.9900000  99.9900000   -0.091980    0.000000   -0.017876    0.000000
   1905.55   -0.056566    0.017771    0.176971    0.018963  99.9900000  99.9900000   -0.090785    0.000000   -0.017883    0.000000
   1905.60   -0.004122    0.018403    0.204665    0.019329  99.9900000  99.9900000   -0.089836    0.000000   -0.017886    0.000000
   1905.65    0.038206    0.017989    0.194052    0.018141  99.9900000  99.9900000   -0.089291    0.000000   -0.017849    0.000000
   1905.70    0.075165    0.017609    0.177143    0.018664  99.9900000  99.9900000   -0.089123    0.000000   -0.018035    0.000000
   1905.75    0.089666    0.022706    0.174365    0.017068  99.9900000  99.9900000   -0.089424    0.000000   -0.018438    0.000000
   1905.80    0.108806    0.025742    0.144283    0.025076  99.9900000  99.9900000   -0.090196    0.000000   -0.019286    0.000000
   1905.85    0.149479    0.023280    0.120578    0.020276  99.9900000  99.9900000   -0.090806    0.000000   -0.020172    0.000000
   1905.90    0.142780    0.024965    0.083212    0.020218  99.9900000  99.9900000   -0.091468    0.000000   -0.021143    0.000000
   1905.95    0.133355    0.024033    0.061646    0.025297  99.9900000  99.9900000   -0.091789    0.000000   -0.021919    0.000000
   1906.00    0.098699    0.023871    0.013496    0.019700  99.9900000  99.9900000   -0.091779    0.000000   -0.022180    0.000000
   1906.05    0.029986    0.021661   -0.031346    0.020345  99.9900000  99.9900000   -0.091829    0.000000   -0.022216    0.000000
   1906.10   -0.022498    0.024579   -0.051182    0.015710  99.9900000  99.9900000   -0.091804    0.000000   -0.021465    0.000000
   1906.15   -0.048571    0.018039   -0.033051    0.019089  99.9900000  99.9900000   -0.091930    0.000000   -0.020466    0.000000
   1906.20   -0.083754    0.021684   -0.021453    0.021079  99.9900000  99.9900000   -0.092241    0.000000   -0.019477    0.000000
   1906.25   -0.100179    0.021438   -0.019643    0.019111  99.9900000  99.9900000   -0.092637    0.000000   -0.018808    0.000000
   1906.30   -0.116470    0.016746   -0.026486    0.016041  99.9900000  99.9900000   -0.092667    0.000000   -0.018281    0.000000
   1906.35   -0.135279    0.020515    0.005501    0.017998  99.9900000  99.9900000   -0.092482    0.000000   -0.017989    0.000000
   1906.40   -0.152406    0.015687    0.033503    0.016189  99.9900000  99.9900000   -0.092146    0.000000   -0.018184    0.000000
   1906.45   -0.141173    0.014321    0.081081    0.015549  99.9900000  99.9900000   -0.091166    0.000000   -0.018478    0.000000
   1906.50   -0.120147    0.017455    0.105356    0.016689  99.9900000  99.9900000   -0.090165    0.000000   -0.018539    0.000000
   1906.55   -0.106461    0.014687    0.115375    0.015380  99.9900000  99.9900000   -0.089003    0.000000   -0.018715    0.000000
   1906.60   -0.096295    0.013220    0.130489    0.016955  99.9900000  99.9900000   -0.088098    0.000000   -0.018549    0.000000
   1906.65   -0.057921    0.014699    0.114900    0.015206  99.9900000  99.9900000   -0.087505    0.000000   -0.018726    0.000000
   1906.70   -0.034610    0.015441    0.135202    0.014289  99.9900000  99.9900000   -0.087500    0.000000   -0.018937    0.000000
   1906.75   -0.030723    0.017748    0.140303    0.019016  99.9900000  99.9900000   -0.087813    0.000000   -0.019386    0.000000
   1906.80   -0.026638    0.017640    0.123451    0.016315  99.9900000  99.9900000   -0.088505    0.000000   -0.020194    0.000000
   1906.85    0.029077    0.025961    0.189377    0.019881  99.9900000  99.9900000   -0.089314    0.000000   -0.021092    0.000000
   1906.90   -0.000071    0.019462    0.169103    0.016960  99.9900000  99.9900000   -0.089843    0.000000   -0.022075    0.000000
   1906.95    0.007497    0.021172    0.178271    0.022812  99.9900000  99.9900000   -0.090186    0.000000   -0.022655    0.000000
   1907.00    0.028800    0.026177    0.195501    0.021835  99.9900000  99.9900000   -0.090518    0.000000   -0.023048    0.000000
   1907.05    0.030693    0.023341    0.122687    0.025643  99.9900000  99.9900000   -0.090453    0.000000   -0.023022    0.000000
   1907.10    0.005786    0.022990    0.059105    0.025101  99.9900000  99.9900000   -0.090592    0.000000   -0.022379    0.000000
   1907.15    0.011278    0.017753    0.085890    0.018130  99.9900000  99.9900000   -0.090859    0.000000   -0.021558    0.000000
   1907.20    0.025837    0.019141    0.045526    0.018841  99.9900000  99.9900000   -0.091122    0.000000   -0.020448    0.000000
   1907.25    0.010188    0.017943    0.033976    0.018047  99.9900000  99.9900000   -0.091486    0.000000   -0.019789    0.000000
