LIA,pole_:_time series,Uniform_:_continental load model,elastic mean_:_barystatic sea_:_level,viscosity_:_profile,Asthenosphere_:_viscosity,Q profile,GRACE_:_solution,relaxed shear_:_modulus ratio,alpha,Anelasticity,ocean_mean_trend_step_1,ocean_mean_trend_step_2,ocean_mean_trend_step_3,ocean_mean_trend_step_4,ocean_mean_trend_step_5
True,mean,False,mean,,,PAR3P,MSSA,0.1,0.26,short-term,1.963629,2.035909,2.343724,2.448864,2.542911
False,mean,False,lower,,,PAR3P,GFZ,0.1,0.26,short-term,1.848995,1.921567,2.198478,2.240579,2.500851
False,mean,False,lower,,,PAR3P,JPL,0.1,0.26,short-term,1.916332,1.988905,2.275208,2.325596,2.587512
False,mean,False,lower,,,PAR3P,CSR,0.1,0.26,short-term,1.848834,1.921407,2.204002,2.255982,2.522226
False,mean,False,lower,,,PAR3P,MSSA,0.1,0.26,short-term,1.93827,2.010843,2.347695,2.459337,2.556134
True,mean,False,lower,,,PAR3P,GFZ,0.1,0.26,short-term,1.85713,1.929409,2.202133,2.243013,2.501369
True,mean,False,lower,,,PAR3P,JPL,0.1,0.26,short-term,1.924758,1.997037,2.278954,2.327739,2.587342
True,mean,False,lower,,,PAR3P,CSR,0.1,0.26,short-term,1.856969,1.929249,2.207556,2.258124,2.522424
True,mean,False,lower,,,PAR3P,MSSA,0.1,0.26,short-term,1.94679,2.019069,2.350917,2.46129,2.555151
False,mean,False,upper,,,PAR3P,GFZ,0.1,0.26,short-term,1.879769,1.952342,2.190102,2.221043,2.480417
False,mean,False,upper,,,PAR3P,JPL,0.1,0.26,short-term,1.948227,2.0208,2.267121,2.308872,2.570663
False,mean,False,upper,,,PAR3P,CSR,0.1,0.26,short-term,1.879606,1.952179,2.194966,2.237163,2.502684
False,mean,False,upper,,,PAR3P,MSSA,0.1,0.26,short-term,1.970531,2.043103,2.332333,2.434781,2.528907
True,mean,False,upper,,,PAR3P,GFZ,0.1,0.26,short-term,1.886454,1.958734,2.192724,2.222245,2.479851
True,mean,False,upper,,,PAR3P,JPL,0.1,0.26,short-term,1.95515,2.02743,2.269758,2.309802,2.571021
True,mean,False,upper,,,PAR3P,CSR,0.1,0.26,short-term,1.886291,1.958571,2.197446,2.23871,2.502433
True,mean,False,upper,,,PAR3P,MSSA,0.1,0.26,short-term,1.97753,2.049809,2.334613,2.435331,2.527862
False,mean,False,mean,,,PAR3P,GFZ,0.2,0.26,short-term,1.865566,1.938316,2.123132,2.145402,2.417064
False,mean,False,mean,,,PAR3P,JPL,0.2,0.26,short-term,1.933507,2.006257,2.199321,2.230748,2.503873
False,mean,False,mean,,,PAR3P,CSR,0.2,0.26,short-term,1.865404,1.938154,2.127451,2.160554,2.438019
False,mean,False,mean,,,PAR3P,MSSA,0.2,0.26,short-term,1.955641,2.028392,2.250109,2.341264,2.462476
True,mean,False,mean,,,PAR3P,GFZ,0.2,0.26,short-term,1.873194,1.945655,2.128448,2.149511,2.421056
True,mean,False,mean,,,PAR3P,JPL,0.2,0.26,short-term,1.941407,2.013868,2.204806,2.235503,2.508739
True,mean,False,mean,,,PAR3P,CSR,0.2,0.26,short-term,1.873032,1.945493,2.132737,2.164172,2.441647
True,mean,False,mean,,,PAR3P,MSSA,0.2,0.26,short-term,1.963629,2.03609,2.255437,2.346024,2.466569
False,mean,False,lower,,,PAR3P,GFZ,0.2,0.26,short-term,1.848995,1.921745,2.11748,2.143524,2.417341
False,mean,False,lower,,,PAR3P,JPL,0.2,0.26,short-term,1.916332,1.989082,2.193445,2.228317,2.502723
False,mean,False,lower,,,PAR3P,CSR,0.2,0.26,short-term,1.848834,1.921584,2.122067,2.158882,2.438053
False,mean,False,lower,,,PAR3P,MSSA,0.2,0.26,short-term,1.93827,2.01102,2.245696,2.340818,2.463952
True,mean,False,lower,,,PAR3P,GFZ,0.2,0.26,short-term,1.85713,1.929591,2.123267,2.148463,2.421461
True,mean,False,lower,,,PAR3P,JPL,0.2,0.26,short-term,1.924758,1.997219,2.199422,2.233597,2.507827
True,mean,False,lower,,,PAR3P,CSR,0.2,0.26,short-term,1.856969,1.92943,2.127806,2.163219,2.441755
True,mean,False,lower,,,PAR3P,MSSA,0.2,0.26,short-term,1.94679,2.019251,2.251439,2.344885,2.468161
False,mean,False,upper,,,PAR3P,GFZ,0.2,0.26,short-term,1.879769,1.952519,2.127056,2.145854,2.416127
False,mean,False,upper,,,PAR3P,JPL,0.2,0.26,short-term,1.948227,2.020977,2.203399,2.231849,2.503467
False,mean,False,upper,,,PAR3P,CSR,0.2,0.26,short-term,1.879606,1.952356,2.131154,2.160378,2.436169
False,mean,False,upper,,,PAR3P,MSSA,0.2,0.26,short-term,1.970531,2.043281,2.252863,2.34126,2.460567
True,mean,False,upper,,,PAR3P,GFZ,0.2,0.26,short-term,1.886454,1.958915,2.13149,2.149319,2.418897
True,mean,False,upper,,,PAR3P,JPL,0.2,0.26,short-term,1.95515,2.027611,2.207953,2.235424,2.506449
True,mean,False,upper,,,PAR3P,CSR,0.2,0.26,short-term,1.886291,1.958752,2.135517,2.164129,2.439722
True,mean,False,upper,,,PAR3P,MSSA,0.2,0.26,short-term,1.97753,2.049991,2.257246,2.345365,2.464114
False,mean,False,mean,,,PREM,GFZ,0.15,0.26,short-term,1.865566,1.939649,2.165015,2.200435,2.479677
False,mean,False,mean,,,PREM,JPL,0.15,0.26,short-term,1.933507,2.00759,2.242126,2.285406,2.567558
False,mean,False,mean,,,PREM,CSR,0.15,0.26,short-term,1.865404,1.939488,2.169888,2.214087,2.50013
False,mean,False,mean,,,PREM,MSSA,0.15,0.26,short-term,1.955641,2.029725,2.302342,2.408321,2.531165
True,mean,False,mean,,,PREM,GFZ,0.15,0.26,short-term,1.873194,1.946975,2.169267,2.203638,2.481856
True,mean,False,mean,,,PREM,JPL,0.15,0.26,short-term,1.941407,2.015187,2.246498,2.288454,2.569478
True,mean,False,mean,,,PREM,CSR,0.15,0.26,short-term,1.873032,1.946812,2.174096,2.216744,2.500648
True,mean,False,mean,,,PREM,MSSA,0.15,0.26,short-term,1.963629,2.03741,2.306407,2.410783,2.5319
False,mean,False,lower,,,PREM,GFZ,0.15,0.26,short-term,1.848995,1.923078,2.164158,2.2039,2.486288
False,mean,False,lower,,,PREM,JPL,0.15,0.26,short-term,1.916332,1.990416,2.241119,2.289323,2.574633
False,mean,False,lower,,,PREM,CSR,0.15,0.26,short-term,1.848834,1.922918,2.169361,2.218242,2.506593
False,mean,False,lower,,,PREM,MSSA,0.15,0.26,short-term,1.93827,2.012353,2.303961,2.413825,2.538383
True,mean,False,lower,,,PREM,GFZ,0.15,0.26,short-term,1.85713,1.93091,2.168792,2.207008,2.48839
True,mean,False,lower,,,PREM,JPL,0.15,0.26,short-term,1.924758,1.998538,2.245893,2.292881,2.576346
True,mean,False,lower,,,PREM,CSR,0.15,0.26,short-term,1.856969,1.930749,2.173923,2.221068,2.507432
True,mean,False,lower,,,PREM,MSSA,0.15,0.26,short-term,1.94679,2.02057,2.308289,2.417068,2.538985
False,mean,False,upper,,,PREM,GFZ,0.15,0.26,short-term,1.879769,1.953853,2.164195,2.195618,2.472101
False,mean,False,upper,,,PREM,JPL,0.15,0.26,short-term,1.948227,2.022311,2.241401,2.280314,2.559892
False,mean,False,upper,,,PREM,CSR,0.15,0.26,short-term,1.879606,1.95369,2.168806,2.208625,2.492664
False,mean,False,upper,,,PREM,MSSA,0.15,0.26,short-term,1.970531,2.044614,2.299159,2.400593,2.520471
True,mean,False,upper,,,PREM,GFZ,0.15,0.26,short-term,1.886454,1.960235,2.167662,2.197577,2.47324
True,mean,False,upper,,,PREM,JPL,0.15,0.26,short-term,1.95515,2.028931,2.244934,2.282807,2.561226
True,mean,False,upper,,,PREM,CSR,0.15,0.26,short-term,1.886291,1.960072,2.172168,2.211118,2.493258
True,mean,False,upper,,,PREM,MSSA,0.15,0.26,short-term,1.97753,2.05131,2.302384,2.403011,2.520816
False,mean,False,mean,,,PREM,GFZ,0.1,0.26,short-term,1.865566,1.93946,2.208471,2.251383,2.523553
False,mean,False,mean,,,PREM,JPL,0.1,0.26,short-term,1.933507,2.007401,2.28592,2.338494,2.612676
False,mean,False,mean,,,PREM,CSR,0.1,0.26,short-term,1.865404,1.939298,2.213822,2.267062,2.543929
False,mean,False,mean,,,PREM,MSSA,0.1,0.26,short-term,1.955641,2.029536,2.357146,2.470687,2.578
True,mean,False,mean,,,PREM,GFZ,0.1,0.26,short-term,1.873194,1.946784,2.210911,2.252653,2.522802
True,mean,False,mean,,,PREM,JPL,0.1,0.26,short-term,1.941407,2.014996,2.28841,2.339052,2.611149
True,mean,False,mean,,,PREM,CSR,0.1,0.26,short-term,1.873032,1.946621,2.216196,2.267704,2.542597
True,mean,False,mean,,,PREM,MSSA,0.1,0.26,short-term,1.963629,2.037219,2.359034,2.470408,2.575711
False,mean,False,lower,,,PREM,GFZ,0.1,0.26,short-term,1.848995,1.922889,2.212691,2.261196,2.534577
False,mean,False,lower,,,PREM,JPL,0.1,0.26,short-term,1.916332,1.990226,2.290017,2.34886,2.624756
False,mean,False,lower,,,PREM,CSR,0.1,0.26,short-term,1.848834,1.922728,2.218431,2.277878,2.557467
False,mean,False,lower,,,PREM,MSSA,0.1,0.26,short-term,1.93827,2.012164,2.365158,2.484371,2.593046
True,mean,False,lower,,,PREM,GFZ,0.1,0.26,short-term,1.85713,1.930719,2.215354,2.263061,2.534423
True,mean,False,lower,,,PREM,JPL,0.1,0.26,short-term,1.924758,1.998347,2.292744,2.348652,2.622069
True,mean,False,lower,,,PREM,CSR,0.1,0.26,short-term,1.856969,1.930559,2.220987,2.278393,2.555831
True,mean,False,lower,,,PREM,MSSA,0.1,0.26,short-term,1.94679,2.020379,2.367066,2.484933,2.592413
False,mean,False,upper,,,PREM,GFZ,0.1,0.26,short-term,1.879769,1.953663,2.202708,2.239955,2.509533
False,mean,False,upper,,,PREM,JPL,0.1,0.26,short-term,1.948227,2.022122,2.280238,2.328159,2.600099
False,mean,False,upper,,,PREM,CSR,0.1,0.26,short-term,1.879606,1.9535,2.207763,2.25587,2.531968
