LIA,pole_:_time series,Uniform_:_continental load model,elastic mean_:_barystatic sea_:_level,viscosity_:_profile,Asthenosphere_:_viscosity,Q profile,GRACE_:_solution,relaxed shear_:_modulus ratio,alpha,Anelasticity,ocean_mean_trend_step_5
True,mean,False,lower,,,PAR3P,GFZ,0.2,0.26,short-term,2.421461
True,mean,False,lower,,,PAR3P,JPL,0.2,0.26,short-term,2.507827
True,mean,False,lower,,,PAR3P,CSR,0.2,0.26,short-term,2.441755
True,mean,False,lower,,,PAR3P,MSSA,0.2,0.26,short-term,2.468161
False,mean,False,upper,,,PAR3P,GFZ,0.2,0.26,short-term,2.416127
False,mean,False,upper,,,PAR3P,JPL,0.2,0.26,short-term,2.503467
False,mean,False,upper,,,PAR3P,CSR,0.2,0.26,short-term,2.436169
False,mean,False,upper,,,PAR3P,MSSA,0.2,0.26,short-term,2.460567
True,mean,False,upper,,,PAR3P,GFZ,0.2,0.26,short-term,2.418897
True,mean,False,upper,,,PAR3P,JPL,0.2,0.26,short-term,2.506449
True,mean,False,upper,,,PAR3P,CSR,0.2,0.26,short-term,2.439722
True,mean,False,upper,,,PAR3P,MSSA,0.2,0.26,short-term,2.464114
False,mean,False,mean,,,PREM,GFZ,0.15,0.26,short-term,2.479677
False,mean,False,mean,,,PREM,JPL,0.15,0.26,short-term,2.567558
False,mean,False,mean,,,PREM,CSR,0.15,0.26,short-term,2.50013
False,mean,False,mean,,,PREM,MSSA,0.15,0.26,short-term,2.531165
True,mean,False,mean,,,PREM,GFZ,0.15,0.26,short-term,2.481856
True,mean,False,mean,,,PREM,JPL,0.15,0.26,short-term,2.569478
True,mean,False,mean,,,PREM,CSR,0.15,0.26,short-term,2.500648
True,mean,False,mean,,,PREM,MSSA,0.15,0.26,short-term,2.5319
False,mean,False,lower,,,PREM,GFZ,0.15,0.26,short-term,2.486288
False,mean,False,lower,,,PREM,JPL,0.15,0.26,short-term,2.574633
False,mean,False,lower,,,PREM,CSR,0.15,0.26,short-term,2.506593
False,mean,False,lower,,,PREM,MSSA,0.15,0.26,short-term,2.538383
True,mean,False,lower,,,PREM,GFZ,0.15,0.26,short-term,2.48839
True,mean,False,lower,,,PREM,JPL,0.15,0.26,short-term,2.576346
True,mean,False,lower,,,PREM,CSR,0.15,0.26,short-term,2.507432
True,mean,False,lower,,,PREM,MSSA,0.15,0.26,short-term,2.538985
False,mean,False,upper,,,PREM,GFZ,0.15,0.26,short-term,2.472101
False,mean,False,upper,,,PREM,JPL,0.15,0.26,short-term,2.559892
False,mean,False,upper,,,PREM,CSR,0.15,0.26,short-term,2.492664
False,mean,False,upper,,,PREM,MSSA,0.15,0.26,short-term,2.520471
True,mean,False,upper,,,PREM,GFZ,0.15,0.26,short-term,2.47324
True,mean,False,upper,,,PREM,JPL,0.15,0.26,short-term,2.561226
True,mean,False,upper,,,PREM,CSR,0.15,0.26,short-term,2.493258
True,mean,False,upper,,,PREM,MSSA,0.15,0.26,short-term,2.520816
False,mean,False,mean,,,PREM,GFZ,0.1,0.26,short-term,2.523553
False,mean,False,mean,,,PREM,JPL,0.1,0.26,short-term,2.612676
False,mean,False,mean,,,PREM,CSR,0.1,0.26,short-term,2.543929
False,mean,False,mean,,,PREM,MSSA,0.1,0.26,short-term,2.578
True,mean,False,mean,,,PREM,GFZ,0.1,0.26,short-term,2.522802
True,mean,False,mean,,,PREM,JPL,0.1,0.26,short-term,2.611149
True,mean,False,mean,,,PREM,CSR,0.1,0.26,short-term,2.542597
True,mean,False,mean,,,PREM,MSSA,0.1,0.26,short-term,2.575711
False,mean,False,lower,,,PREM,GFZ,0.1,0.26,short-term,2.534577
False,mean,False,lower,,,PREM,JPL,0.1,0.26,short-term,2.624756
False,mean,False,lower,,,PREM,CSR,0.1,0.26,short-term,2.557467
False,mean,False,lower,,,PREM,MSSA,0.1,0.26,short-term,2.593046
True,mean,False,lower,,,PREM,GFZ,0.1,0.26,short-term,2.534423
True,mean,False,lower,,,PREM,JPL,0.1,0.26,short-term,2.622069
True,mean,False,lower,,,PREM,CSR,0.1,0.26,short-term,2.555831
True,mean,False,lower,,,PREM,MSSA,0.1,0.26,short-term,2.592413
False,mean,False,upper,,,PREM,GFZ,0.1,0.26,short-term,2.509533
False,mean,False,upper,,,PREM,JPL,0.1,0.26,short-term,2.600099
False,mean,False,upper,,,PREM,CSR,0.1,0.26,short-term,2.531968
False,mean,False,upper,,,PREM,MSSA,0.1,0.26,short-term,2.562274
True,mean,False,upper,,,PREM,GFZ,0.1,0.26,short-term,2.507813
True,mean,False,upper,,,PREM,JPL,0.1,0.26,short-term,2.598223
True,mean,False,upper,,,PREM,CSR,0.1,0.26,short-term,2.528844
True,mean,False,upper,,,PREM,MSSA,0.1,0.26,short-term,2.55886
False,mean,False,mean,,,PREM,GFZ,0.2,0.26,short-term,2.447182
False,mean,False,mean,,,PREM,JPL,0.2,0.26,short-term,2.534084
False,mean,False,mean,,,PREM,CSR,0.2,0.26,short-term,2.468748
False,mean,False,mean,,,PREM,MSSA,0.2,0.26,short-term,2.496875
True,mean,False,mean,,,PREM,GFZ,0.2,0.26,short-term,2.451798
True,mean,False,mean,,,PREM,JPL,0.2,0.26,short-term,2.538383
True,mean,False,mean,,,PREM,CSR,0.2,0.26,short-term,2.472792
True,mean,False,mean,,,PREM,MSSA,0.2,0.26,short-term,2.50006
False,mean,False,lower,,,PREM,GFZ,0.2,0.26,short-term,2.448889
False,mean,False,lower,,,PREM,JPL,0.2,0.26,short-term,2.535388
False,mean,False,lower,,,PREM,CSR,0.2,0.26,short-term,2.471438
False,mean,False,lower,,,PREM,MSSA,0.2,0.26,short-term,2.500186
True,mean,False,lower,,,PREM,GFZ,0.2,0.26,short-term,2.453355
True,mean,False,lower,,,PREM,JPL,0.2,0.26,short-term,2.540577
True,mean,False,lower,,,PREM,CSR,0.2,0.26,short-term,2.475974
True,mean,False,lower,,,PREM,MSSA,0.2,0.26,short-term,2.504929
False,mean,False,upper,,,PREM,GFZ,0.2,0.26,short-term,2.44302
False,mean,False,upper,,,PREM,JPL,0.2,0.26,short-term,2.529942
False,mean,False,upper,,,PREM,CSR,0.2,0.26,short-term,2.464255
False,mean,False,upper,,,PREM,MSSA,0.2,0.26,short-term,2.490294
True,mean,False,upper,,,PREM,GFZ,0.2,0.26,short-term,2.445866
True,mean,False,upper,,,PREM,JPL,0.2,0.26,short-term,2.533496
True,mean,False,upper,,,PREM,CSR,0.2,0.26,short-term,2.467622
True,mean,False,upper,,,PREM,MSSA,0.2,0.26,short-term,2.491819
False,mean,False,mean,,,QL6,GFZ,0.15,0.26,short-term,2.433976
False,mean,False,mean,,,QL6,JPL,0.15,0.26,short-term,2.52256
False,mean,False,mean,,,QL6,CSR,0.15,0.26,short-term,2.453273
False,mean,False,mean,,,QL6,MSSA,0.15,0.26,short-term,2.48175
True,mean,False,mean,,,QL6,GFZ,0.15,0.26,short-term,2.436242
True,mean,False,mean,,,QL6,JPL,0.15,0.26,short-term,2.523977
True,mean,False,mean,,,QL6,CSR,0.15,0.26,short-term,2.455342
True,mean,False,mean,,,QL6,MSSA,0.15,0.26,short-term,2.482859
False,mean,False,lower,,,QL6,GFZ,0.15,0.26,short-term,2.43823
False,mean,False,lower,,,QL6,JPL,0.15,0.26,short-term,2.525211
False,mean,False,lower,,,QL6,CSR,0.15,0.26,short-term,2.45662
False,mean,False,lower,,,QL6,MSSA,0.15,0.26,short-term,2.487671
True,mean,False,lower,,,QL6,GFZ,0.15,0.26,short-term,2.440254
True,mean,False,lower,,,QL6,JPL,0.15,0.26,short-term,2.527804
True,mean,False,lower,,,QL6,CSR,0.15,0.26,short-term,2.458561
True,mean,False,lower,,,QL6,MSSA,0.15,0.26,short-term,2.488419
False,mean,False,upper,,,QL6,GFZ,0.15,0.26,short-term,2.427496
False,mean,False,upper,,,QL6,JPL,0.15,0.26,short-term,2.516721
False,mean,False,upper,,,QL6,CSR,0.15,0.26,short-term,2.448123
False,mean,False,upper,,,QL6,MSSA,0.15,0.26,short-term,2.474529
True,mean,False,upper,,,QL6,GFZ,0.15,0.26,short-term,2.428952
True,mean,False,upper,,,QL6,JPL,0.15,0.26,short-term,2.517975
True,mean,False,upper,,,QL6,CSR,0.15,0.26,short-term,2.449585
True,mean,False,upper,,,QL6,MSSA,0.15,0.26,short-term,2.475251
False,mean,False,mean,,,QL6,GFZ,0.1,0.26,short-term,2.470602
False,mean,False,mean,,,QL6,JPL,0.1,0.26,short-term,2.559494
False,mean,False,mean,,,QL6,CSR,0.1,0.26,short-term,2.490729
False,mean,False,mean,,,QL6,MSSA,0.1,0.26,short-term,2.52129
True,mean,False,mean,,,QL6,GFZ,0.1,0.26,short-term,2.468742
True,mean,False,mean,,,QL6,JPL,0.1,0.26,short-term,2.558578
True,mean,False,mean,,,QL6,CSR,0.1,0.26,short-term,2.490504
True,mean,False,mean,,,QL6,MSSA,0.1,0.26,short-term,2.520493
False,mean,False,lower,,,QL6,GFZ,0.1,0.26,short-term,2.478072
False,mean,False,lower,,,QL6,JPL,0.1,0.26,short-term,2.56641
False,mean,False,lower,,,QL6,CSR,0.1,0.26,short-term,2.498074
False,mean,False,lower,,,QL6,MSSA,0.1,0.26,short-term,2.53208
True,mean,False,lower,,,QL6,GFZ,0.1,0.26,short-term,2.475887
True,mean,False,lower,,,QL6,JPL,0.1,0.26,short-term,2.565538
True,mean,False,lower,,,QL6,CSR,0.1,0.26,short-term,2.498784
True,mean,False,lower,,,QL6,MSSA,0.1,0.26,short-term,2.530795
False,mean,False,upper,,,QL6,GFZ,0.1,0.26,short-term,2.461406
False,mean,False,upper,,,QL6,JPL,0.1,0.26,short-term,2.549797
False,mean,False,upper,,,QL6,CSR,0.1,0.26,short-term,2.48069
False,mean,False,upper,,,QL6,MSSA,0.1,0.26,short-term,2.509322
True,mean,False,upper,,,QL6,GFZ,0.1,0.26,short-term,2.459882
True,mean,False,upper,,,QL6,JPL,0.1,0.26,short-term,2.548525
True,mean,False,upper,,,QL6,CSR,0.1,0.26,short-term,2.479493
True,mean,False,upper,,,QL6,MSSA,0.1,0.26,short-term,2.507391
False,mean,False,mean,,,QL6,GFZ,0.2,0.26,short-term,2.404119
False,mean,False,mean,,,QL6,JPL,0.2,0.26,short-term,2.489557
False,mean,False,mean,,,QL6,CSR,0.2,0.26,short-term,2.424572
False,mean,False,mean,,,QL6,MSSA,0.2,0.26,short-term,2.451493
True,mean,False,mean,,,QL6,GFZ,0.2,0.26,short-term,2.407763
True,mean,False,mean,,,QL6,JPL,0.2,0.26,short-term,2.493963
True,mean,False,mean,,,QL6,CSR,0.2,0.26,short-term,2.428529
True,mean,False,mean,,,QL6,MSSA,0.2,0.26,short-term,2.454404
False,mean,False,lower,,,QL6,GFZ,0.2,0.26,short-term,2.405293
False,mean,False,lower,,,QL6,JPL,0.2,0.26,short-term,2.488995
False,mean,False,lower,,,QL6,CSR,0.2,0.26,short-term,2.425449
False,mean,False,lower,,,QL6,MSSA,0.2,0.26,short-term,2.453789
True,mean,False,lower,,,QL6,GFZ,0.2,0.26,short-term,2.408582
