LIA,pole_:_time series,Uniform_:_continental load model,elastic mean_:_barystatic sea_:_level,viscosity_:_profile,Asthenosphere_:_viscosity,Q profile,GRACE_:_solution,relaxed shear_:_modulus ratio,alpha,Anelasticity,ocean_mean_trend_step_5
False,mean,True,upper,,,PAR3P,GFZ,0.2,0.26,short-term,2.308196
False,mean,True,upper,,,PAR3P,JPL,0.2,0.26,short-term,2.387516
False,mean,True,upper,,,PAR3P,CSR,0.2,0.26,short-term,2.321866
False,mean,True,upper,,,PAR3P,MSSA,0.2,0.26,short-term,2.337019
True,mean,True,upper,,,PAR3P,GFZ,0.2,0.26,short-term,2.31059
True,mean,True,upper,,,PAR3P,JPL,0.2,0.26,short-term,2.389869
True,mean,True,upper,,,PAR3P,CSR,0.2,0.26,short-term,2.324137
True,mean,True,upper,,,PAR3P,MSSA,0.2,0.26,short-term,2.339357
False,mean,True,mean,,,PREM,GFZ,0.15,0.26,short-term,2.371178
False,mean,True,mean,,,PREM,JPL,0.15,0.26,short-term,2.45099
False,mean,True,mean,,,PREM,CSR,0.15,0.26,short-term,2.38596
False,mean,True,mean,,,PREM,MSSA,0.15,0.26,short-term,2.399217
True,mean,True,mean,,,PREM,GFZ,0.15,0.26,short-term,2.371782
True,mean,True,mean,,,PREM,JPL,0.15,0.26,short-term,2.451435
True,mean,True,mean,,,PREM,CSR,0.15,0.26,short-term,2.38577
False,mean,True,lower,,,PREM,GFZ,0.15,0.26,short-term,2.379664
False,mean,True,lower,,,PREM,JPL,0.15,0.26,short-term,2.458098
False,mean,True,lower,,,PREM,CSR,0.15,0.26,short-term,2.394126
False,mean,True,lower,,,PREM,MSSA,0.15,0.26,short-term,2.406526
True,mean,True,lower,,,PREM,GFZ,0.15,0.26,short-term,2.379122
True,mean,True,lower,,,PREM,JPL,0.15,0.26,short-term,2.458501
True,mean,True,lower,,,PREM,CSR,0.15,0.26,short-term,2.394335
True,mean,True,lower,,,PREM,MSSA,0.15,0.26,short-term,2.405664
False,mean,True,upper,,,PREM,GFZ,0.15,0.26,short-term,2.361892
