+2.48500471E+04, +2.48643845E+04, +2.48787218E+04, +2.48930592E+04, +2.49073965E+04, +2.49217339E+04, +2.49360713E+04, +2.49504086E+04, +2.49647460E+04, +2.49790833E+04, +2.49934207E+04, +2.50077580E+04, +2.50220954E+04, +2.50364327E+04, +2.50507701E+04, +2.50651074E+04, +2.50794448E+04, +2.50937821E+04, +2.51081195E+04, +2.51224568E+04, +2.51367942E+04, +2.51511316E+04, +2.51654689E+04, +2.51798063E+04, +2.51941436E+04, &
-5.08843905E-11, -2.14412273E-11, +1.75672519E-12, +1.11194283E-11, +1.94582336E-11, +2.47733639E-11, +2.61817235E-11, +2.33711037E-11, +1.22318492E-11, -4.10824066E-12, -2.30743671E-11, -4.51354856E-11, -7.77491543E-11, -1.13182200E-10, -1.41199288E-10, -1.62435704E-10, -1.78713933E-10, -1.85564633E-10, -1.80299609E-10, -1.74827222E-10, -1.69846193E-10, -1.59946154E-10, -1.39628337E-10, -1.19555671E-10, -9.42185566E-11, &
-5.80973256E-11, -7.21983306E-11, -8.51790721E-11, -1.02341718E-10, -1.23430433E-10, -1.43553600E-10, -1.63420832E-10, -1.86662574E-10, -2.07120820E-10, -2.26229285E-10, -2.42344644E-10, -2.54335664E-10, -2.61201671E-10, -2.61523303E-10, -2.51496574E-10, -2.32198427E-10, -2.06636597E-10, -1.83812521E-10, -1.60084029E-10, -1.38137002E-10, -1.18680288E-10, -1.01385678E-10, -8.95096358E-11, -7.85690679E-11, -7.20162402E-11, &
-5.37004746E-11, -2.14343578E-11, +3.81054173E-12, +1.38039510E-11, +2.27333811E-11, +2.82806695E-11, +2.95356101E-11, +2.60995947E-11, +1.35101496E-11, -4.75614860E-12, -2.58554081E-11, -5.03625613E-11, -8.64224525E-11, -1.25386312E-10, -1.56044164E-10, -1.79177326E-10, -1.96792832E-10, -2.03955172E-10, -1.97835248E-10, -1.91581029E-10, -1.85851723E-10, -1.74663478E-10, -1.52051940E-10, -1.29812439E-10, -1.01766984E-10, &
-6.52370796E-11, -8.09957240E-11, -9.55014956E-11, -1.14598143E-10, -1.37953954E-10, -1.60166241E-10, -1.82090509E-10, -2.07659001E-10, -2.30086963E-10, -2.50980514E-10, -2.68513989E-10, -2.81454138E-10, -2.88709223E-10, -2.88711444E-10, -2.77316531E-10, -2.55773014E-10, -2.27464353E-10, -2.02276682E-10, -1.76138132E-10, -1.52057603E-10, -1.30755101E-10, -1.11909405E-10, -9.90537166E-11, -8.72550504E-11, -8.03523220E-11, &
-8.86158855E-11, -5.76267159E-11, -3.29457156E-11, -2.25168599E-11, -1.33060160E-11, -7.23180326E-12, -5.26940037E-12, -7.70917618E-12, -1.88366336E-11, -3.54839040E-11, -5.50035295E-11, -7.78255099E-11, -1.11654269E-10, -1.48657420E-10, -1.78209031E-10, -2.00815392E-10, -2.18306012E-10, -2.26073008E-10, -2.21223914E-10, -2.15945511E-10, -2.11090756E-10, -2.01118705E-10, -1.80295945E-10, -1.59498706E-10, -1.33207778E-10, &
-9.27558447E-11, -1.07070519E-10, -1.20361804E-10, -1.38046741E-10, -1.59908628E-10, -1.80927329E-10, -2.01743830E-10, -2.26123606E-10, -2.47745102E-10, -2.68015221E-10, -2.85243051E-10, -2.98226804E-10, -3.05902970E-10, -3.06784931E-10, -2.96902808E-10, -2.77285139E-10, -2.50980070E-10, -2.27278751E-10, -2.02554973E-10, -1.79535761E-10, -1.59032842E-10, -1.40701673E-10, -1.27944572E-10, -1.16186213E-10, -1.08945006E-10, &
-1.18572707E-10, -8.69418565E-11, -6.15993298E-11, -5.06169759E-11, -4.09317094E-11, -3.44289389E-11, -3.21200601E-11, -3.42872050E-11, -4.52766574E-11, -6.19240492E-11, -8.15684187E-11, -1.04621201E-10, -1.38859604E-10, -1.76443637E-10, -2.06623843E-10, -2.29837760E-10, -2.47897175E-10, -2.56146215E-10, -2.51607624E-10, -2.46526577E-10, -2.41814624E-10, -2.31902136E-10, -2.10976292E-10, -1.89955246E-10, -1.63336136E-10, &
-1.20876031E-10, -1.35157302E-10, -1.48488472E-10, -1.66309466E-10, -1.88420571E-10, -2.09768966E-10, -2.30961889E-10, -2.55804156E-10, -2.77928791E-10, -2.98722547E-10, -3.16475762E-10, -3.29955563E-10, -3.38068351E-10, -3.39297729E-10, -3.29612226E-10, -3.10008214E-10, -2.83530310E-10, -2.59553934E-10, -2.34478853E-10, -2.11045750E-10, -1.90111288E-10, -1.71330422E-10, -1.58159486E-10, -1.46009066E-10, -1.38416570E-10, &
-1.65277986E-10, -1.32671749E-10, -1.06305631E-10, -9.44454792E-11, -8.39960254E-11, -7.67892486E-11, -7.38917608E-11, -7.55776691E-11, -8.62851249E-11, -1.02859915E-10, -1.22621024E-10, -1.45955026E-10, -1.80750678E-10, -2.19167240E-10, -2.50273885E-10, -2.74401502E-10, -2.93333358E-10, -3.02338821E-10, -2.98308239E-10, -2.93565228E-10, -2.89111929E-10, -2.79335249E-10, -2.58301103E-10, -2.36980879E-10, -2.09897988E-10, &
